,station_id,station_name,raccnt,station_lat,station_lon,ADM_NM,gu
186,ST-151,335. 종로3가역 15번출구 앞,10,37.570194,126.991653,종로1·2·3·4가동,종로구
187,ST-152,336. 충무로역 6번출구 앞,8,37.561447,126.99311,필동,중구
188,ST-153,337. 창경궁 입구,5,37.578979,126.996475,종로1·2·3·4가동,종로구
189,ST-154,338. 세운스퀘어 앞,18,37.570957,126.997123,종로1·2·3·4가동,종로구
190,ST-155,339. 종로4가 사거리,10,37.571067,126.998191,종로1·2·3·4가동,종로구
191,ST-156,340. 혜화동 로터리,8,37.585628,127.000679,혜화동,종로구
192,ST-157,341. 혜화역 3번출구 뒤,8,37.581569,127.001785,이화동,종로구
193,ST-158,342. 대학로 마로니에공원,22,37.579784,127.002532,이화동,종로구
194,ST-159,343. 힐스테이트창경궁 아파트 앞,6,37.575611,127.004699,종로5·6가동,종로구
195,ST-160,344. 성균관대 E하우스 앞,10,37.574199,127.006591,종로5·6가동,종로구
196,ST-161,345. 서울보증보험본사 앞,18,37.573307,127.000709,종로5·6가동,종로구
197,ST-162,346. 맥스타일 앞,10,37.569183,127.00988,광희동,중구
198,ST-163,347. 동대문역사문화공원역 9번출구 앞,18,37.56533,127.007843,광희동,중구
199,ST-183,348. 독립문역 사거리,14,37.572029,126.960784,교남동,종로구
200,ST-165,349. 어린이도서관,5,37.576332,126.968589,사직동,종로구
201,ST-167,351. 청운초교 앞 삼거리,5,37.584968,126.970413,청운효자동,종로구
202,ST-169,353. 재동초교 앞 삼거리,8,37.579387,126.984947,가회동,종로구
203,ST-170,354. 포르투갈 대사관 앞,10,37.579154,126.98896,가회동,종로구
204,ST-171,355. 서울사대부설초등학교 앞,15,37.576507,127.002456,이화동,종로구
205,ST-172,356. KT혜화지사 앞,15,37.577144,127.002059,이화동,종로구
206,ST-173,358. 성균관대입구 사거리 A,13,37.5825,126.998535,혜화동,종로구
207,ST-174,359. 원남동사거리,8,37.576061,126.99768,종로1·2·3·4가동,종로구
208,ST-175,361. 동묘앞역 1번출구 뒤,10,37.573242,127.015907,숭인1동,종로구
209,ST-176,362. 청계8가사거리 A,10,37.572196,127.02304,숭인2동,종로구
